district,station_id,crime_type,week_start,week_of_year,month,previous_week_count,rolling_4w_mean,rolling_4w_std,trend_4w,night_share_4w,seasonality_sin,seasonality_cos,target_next_week_count,split
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-06-30,27,6,0,0,0,0,0,-0.120537,-0.992709,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-07-07,28,7,0,0,0,0,0,-0.239316,-0.970942,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-07-14,29,7,0,0,0,0,0,-0.354605,-0.935016,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-07-21,30,7,0,0,0,0,0,-0.464723,-0.885456,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-07-28,31,7,0,0,0,0,0,-0.568065,-0.822984,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-08-04,32,8,0,0,0,0,0,-0.663123,-0.748511,0,train
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-08-11,33,8,0,0,0,0,0,-0.748511,-0.663123,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-08-18,34,8,0,0,0,0,0,-0.822984,-0.568065,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-08-25,35,8,0,0,0,0,0,-0.885456,-0.464723,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-09-01,36,9,0,0,0,0,0,-0.935016,-0.354605,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-09-08,37,9,0,0,0,0,0,-0.970942,-0.239316,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-09-15,38,9,0,0,0,0,0,-0.992709,-0.120537,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-09-22,39,9,0,0,0,0,0,-1,0,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-09-29,40,9,0,0,0,0,0,-0.992709,0.120537,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-10-06,41,10,0,0,0,0,0,-0.970942,0.239316,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-10-13,42,10,0,0,0,0,0,-0.935016,0.354605,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-10-20,43,10,0,0,0,0,0,-0.885456,0.464723,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-10-27,44,10,0,0,0,0,0,-0.822984,0.568065,0,validation
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-11-03,45,11,0,0,0,0,0,-0.748511,0.663123,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-11-10,46,11,0,0,0,0,0,-0.663123,0.748511,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-11-17,47,11,0,0,0,0,0,-0.568065,0.822984,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-11-24,48,11,0,0,0,0,0,-0.464723,0.885456,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-12-01,49,12,0,0,0,0,0,-0.354605,0.935016,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-12-08,50,12,0,0,0,0,0,-0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-12-15,51,12,0,0,0,0,0,-0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-12-22,52,12,0,0,0,0,0,0,1,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2025-12-29,53,12,0,0,0,0,0,0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2026-01-05,2,1,0,0,0,0,0,0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,Chain Snatching,2026-01-12,3,1,0,0,0,0,0,0.354605,0.935016,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2024-08-26,35,8,0,0,0,0,0,-0.885456,-0.464723,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-09-02,36,9,0,0,0,0,0,-0.935016,-0.354605,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-09-09,37,9,0,0,0,0,0,-0.970942,-0.239316,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-09-16,38,9,0,0,0,0,0,-0.992709,-0.120537,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-09-23,39,9,0,0,0,0,0,-1,0,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-09-30,40,9,0,0,0,0,0,-0.992709,0.120537,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-10-07,41,10,0,0,0,0,0,-0.970942,0.239316,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-10-14,42,10,0,0,0,0,0,-0.935016,0.354605,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-10-21,43,10,0,0,0,0,0,-0.885456,0.464723,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-10-28,44,10,0,0,0,0,0,-0.822984,0.568065,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-11-04,45,11,0,0,0,0,0,-0.748511,0.663123,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-11-11,46,11,0,0,0,0,0,-0.663123,0.748511,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-11-18,47,11,0,0,0,0,0,-0.568065,0.822984,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-11-25,48,11,0,0,0,0,0,-0.464723,0.885456,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-12-02,49,12,0,0,0,0,0,-0.354605,0.935016,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-12-09,50,12,0,0,0,0,0,-0.239316,0.970942,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-12-16,51,12,0,0,0,0,0,-0.120537,0.992709,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-12-23,52,12,0,0,0,0,0,0,1,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2024-12-30,53,12,0,0,0,0,0,0.120537,0.992709,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-01-06,2,1,0,0,0,0,0,0.239316,0.970942,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-01-13,3,1,0,0,0,0,0,0.354605,0.935016,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-01-20,4,1,0,0,0,0,0,0.464723,0.885456,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-01-27,5,1,0,0,0,0,0,0.568065,0.822984,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-02-03,6,2,0,0,0,0,0,0.663123,0.748511,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-02-10,7,2,0,0,0,0,0,0.748511,0.663123,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-02-17,8,2,0,0,0,0,0,0.822984,0.568065,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-02-24,9,2,0,0,0,0,0,0.885456,0.464723,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-03-03,10,3,0,0,0,0,0,0.935016,0.354605,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-03-10,11,3,0,0,0,0,0,0.970942,0.239316,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-03-17,12,3,0,0,0,0,0,0.992709,0.120537,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-03-24,13,3,0,0,0,0,0,1,0,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-03-31,14,3,0,0,0,0,0,0.992709,-0.120537,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-04-07,15,4,0,0,0,0,0,0.970942,-0.239316,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-04-14,16,4,0,0,0,0,0,0.935016,-0.354605,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-04-21,17,4,0,0,0,0,0,0.885456,-0.464723,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-04-28,18,4,0,0,0,0,0,0.822984,-0.568065,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-05-05,19,5,0,0,0,0,0,0.748511,-0.663123,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-05-12,20,5,0,0,0,0,0,0.663123,-0.748511,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-05-19,21,5,0,0,0,0,0,0.568065,-0.822984,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-05-26,22,5,0,0,0,0,0,0.464723,-0.885456,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-06-02,23,6,0,0,0,0,0,0.354605,-0.935016,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-06-09,24,6,0,0,0,0,0,0.239316,-0.970942,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-06-16,25,6,0,0,0,0,0,0.120537,-0.992709,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-06-23,26,6,0,0,0,0,0,0,-1,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-06-30,27,6,0,0,0,0,0,-0.120537,-0.992709,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-07-07,28,7,0,0,0,0,0,-0.239316,-0.970942,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-07-14,29,7,0,0,0,0,0,-0.354605,-0.935016,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-07-21,30,7,0,0,0,0,0,-0.464723,-0.885456,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-07-28,31,7,0,0,0,0,0,-0.568065,-0.822984,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-08-04,32,8,0,0,0,0,0,-0.663123,-0.748511,0,train
Bengaluru South,PS-BLR-JYN,House Burglary,2025-08-11,33,8,0,0,0,0,0,-0.748511,-0.663123,1,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-08-18,34,8,0,0,0,0,0,-0.822984,-0.568065,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-08-25,35,8,1,0.25,0.433,1,1,-0.885456,-0.464723,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-09-01,36,9,0,0.25,0.433,0,1,-0.935016,-0.354605,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-09-08,37,9,0,0.25,0.433,0,1,-0.970942,-0.239316,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-09-15,38,9,0,0.25,0.433,-1,1,-0.992709,-0.120537,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-09-22,39,9,0,0,0,0,0,-1,0,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-09-29,40,9,0,0,0,0,0,-0.992709,0.120537,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-10-06,41,10,0,0,0,0,0,-0.970942,0.239316,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-10-13,42,10,0,0,0,0,0,-0.935016,0.354605,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-10-20,43,10,0,0,0,0,0,-0.885456,0.464723,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-10-27,44,10,0,0,0,0,0,-0.822984,0.568065,0,validation
Bengaluru South,PS-BLR-JYN,House Burglary,2025-11-03,45,11,0,0,0,0,0,-0.748511,0.663123,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-11-10,46,11,0,0,0,0,0,-0.663123,0.748511,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-11-17,47,11,0,0,0,0,0,-0.568065,0.822984,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-11-24,48,11,0,0,0,0,0,-0.464723,0.885456,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-12-01,49,12,0,0,0,0,0,-0.354605,0.935016,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-12-08,50,12,0,0,0,0,0,-0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-12-15,51,12,0,0,0,0,0,-0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-12-22,52,12,0,0,0,0,0,0,1,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2025-12-29,53,12,0,0,0,0,0,0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2026-01-05,2,1,0,0,0,0,0,0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,House Burglary,2026-01-12,3,1,0,0,0,0,0,0.354605,0.935016,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-08-26,35,8,0,0,0,0,0,-0.885456,-0.464723,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-09-02,36,9,0,0,0,0,0,-0.935016,-0.354605,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-09-09,37,9,0,0,0,0,0,-0.970942,-0.239316,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-09-16,38,9,0,0,0,0,0,-0.992709,-0.120537,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-09-23,39,9,0,0,0,0,0,-1,0,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-09-30,40,9,0,0,0,0,0,-0.992709,0.120537,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-10-07,41,10,0,0,0,0,0,-0.970942,0.239316,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-10-14,42,10,0,0,0,0,0,-0.935016,0.354605,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-10-21,43,10,0,0,0,0,0,-0.885456,0.464723,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-10-28,44,10,0,0,0,0,0,-0.822984,0.568065,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-11-04,45,11,0,0,0,0,0,-0.748511,0.663123,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-11-11,46,11,0,0,0,0,0,-0.663123,0.748511,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-11-18,47,11,0,0,0,0,0,-0.568065,0.822984,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-11-25,48,11,0,0,0,0,0,-0.464723,0.885456,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-12-02,49,12,0,0,0,0,0,-0.354605,0.935016,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-12-09,50,12,0,0,0,0,0,-0.239316,0.970942,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-12-16,51,12,0,0,0,0,0,-0.120537,0.992709,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-12-23,52,12,0,0,0,0,0,0,1,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2024-12-30,53,12,0,0,0,0,0,0.120537,0.992709,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-01-06,2,1,0,0,0,0,0,0.239316,0.970942,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-01-13,3,1,0,0,0,0,0,0.354605,0.935016,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-01-20,4,1,0,0,0,0,0,0.464723,0.885456,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-01-27,5,1,0,0,0,0,0,0.568065,0.822984,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-02-03,6,2,0,0,0,0,0,0.663123,0.748511,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-02-10,7,2,0,0,0,0,0,0.748511,0.663123,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-02-17,8,2,0,0,0,0,0,0.822984,0.568065,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-02-24,9,2,0,0,0,0,0,0.885456,0.464723,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-03-03,10,3,0,0,0,0,0,0.935016,0.354605,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-03-10,11,3,0,0,0,0,0,0.970942,0.239316,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-03-17,12,3,0,0,0,0,0,0.992709,0.120537,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-03-24,13,3,0,0,0,0,0,1,0,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-03-31,14,3,0,0,0,0,0,0.992709,-0.120537,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-04-07,15,4,0,0,0,0,0,0.970942,-0.239316,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-04-14,16,4,0,0,0,0,0,0.935016,-0.354605,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-04-21,17,4,0,0,0,0,0,0.885456,-0.464723,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-04-28,18,4,0,0,0,0,0,0.822984,-0.568065,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-05-05,19,5,0,0,0,0,0,0.748511,-0.663123,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-05-12,20,5,0,0,0,0,0,0.663123,-0.748511,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-05-19,21,5,0,0,0,0,0,0.568065,-0.822984,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-05-26,22,5,0,0,0,0,0,0.464723,-0.885456,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-06-02,23,6,0,0,0,0,0,0.354605,-0.935016,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-06-09,24,6,0,0,0,0,0,0.239316,-0.970942,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-06-16,25,6,0,0,0,0,0,0.120537,-0.992709,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-06-23,26,6,0,0,0,0,0,0,-1,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-06-30,27,6,0,0,0,0,0,-0.120537,-0.992709,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-07-07,28,7,0,0,0,0,0,-0.239316,-0.970942,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-07-14,29,7,0,0,0,0,0,-0.354605,-0.935016,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-07-21,30,7,0,0,0,0,0,-0.464723,-0.885456,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-07-28,31,7,0,0,0,0,0,-0.568065,-0.822984,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-08-04,32,8,0,0,0,0,0,-0.663123,-0.748511,0,train
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-08-11,33,8,0,0,0,0,0,-0.748511,-0.663123,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-08-18,34,8,0,0,0,0,0,-0.822984,-0.568065,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-08-25,35,8,0,0,0,0,0,-0.885456,-0.464723,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-09-01,36,9,0,0,0,0,0,-0.935016,-0.354605,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-09-08,37,9,0,0,0,0,0,-0.970942,-0.239316,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-09-15,38,9,0,0,0,0,0,-0.992709,-0.120537,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-09-22,39,9,0,0,0,0,0,-1,0,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-09-29,40,9,0,0,0,0,0,-0.992709,0.120537,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-10-06,41,10,0,0,0,0,0,-0.970942,0.239316,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-10-13,42,10,0,0,0,0,0,-0.935016,0.354605,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-10-20,43,10,0,0,0,0,0,-0.885456,0.464723,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-10-27,44,10,0,0,0,0,0,-0.822984,0.568065,0,validation
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-11-03,45,11,0,0,0,0,0,-0.748511,0.663123,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-11-10,46,11,0,0,0,0,0,-0.663123,0.748511,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-11-17,47,11,0,0,0,0,0,-0.568065,0.822984,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-11-24,48,11,0,0,0,0,0,-0.464723,0.885456,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-12-01,49,12,0,0,0,0,0,-0.354605,0.935016,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-12-08,50,12,0,0,0,0,0,-0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-12-15,51,12,0,0,0,0,0,-0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-12-22,52,12,0,0,0,0,0,0,1,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2025-12-29,53,12,0,0,0,0,0,0.120537,0.992709,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2026-01-05,2,1,0,0,0,0,0,0.239316,0.970942,0,test
Bengaluru South,PS-BLR-JYN,Mobile Phone Theft,2026-01-12,3,1,0,0,0,0,0,0.354605,0.935016,0,test
